date,symbol,open,high,low,close,volume,return_1d,period_end,report_date,fiscal_quarter,report_type,filing_lag_days,revenue,revenue_yoy,net_income,net_margin,operating_cashflow,debt_to_equity,gross_margin,roe,eps_estimate,eps_actual,eps_surprise,eps_surprise_pct,is_report_day,days_since_report,has_fundamentals
2019-01-01,ALFA,166.24,168.39,165.53,165.9,285883,-0.006882,,,,,,,,,,,,,,,,,,0,999,0
2019-01-02,ALFA,168.77,169.8,167.47,168.74,1324617,0.017084,,,,,,,,,,,,,,,,,,0,999,0
2019-01-03,ALFA,168.57,169.22,167.75,168.74,1336511,4.3e-05,,,,,,,,,,,,,,,,,,0,999,0
2019-01-04,ALFA,168.73,169.69,165.63,169.09,268349,0.002071,,,,,,,,,,,,,,,,,,0,999,0
2019-01-07,ALFA,171.43,172.28,168.4,171.64,1721581,0.015071,,,,,,,,,,,,,,,,,,0,999,0
2019-01-08,ALFA,169.9,171.6,167.11,169.93,220424,-0.00997,,,,,,,,,,,,,,,,,,0,999,0
2019-01-09,ALFA,168.03,170.1,165.35,167.77,2023584,-0.012681,,,,,,,,,,,,,,,,,,0,999,0
2019-01-10,ALFA,167.92,168.58,166.97,167.56,1822542,-0.001273,,,,,,,,,,,,,,,,,,0,999,0
2019-01-11,ALFA,169.53,171.97,169.12,169.36,2074789,0.010747,,,,,,,,,,,,,,,,,,0,999,0
2019-01-14,ALFA,166.56,167.7,164.35,166.7,472075,-0.015723,,,,,,,,,,,,,,,,,,0,999,0
2019-01-15,ALFA,163.16,164.34,161.03,163.26,2201862,-0.020598,,,,,,,,,,,,,,,,,,0,999,0
2019-01-16,ALFA,165.46,166.27,163.5,164.77,1459958,0.00921,,,,,,,,,,,,,,,,,,0,999,0
2019-01-17,ALFA,163.77,166.36,161.93,163.52,2185677,-0.007602,,,,,,,,,,,,,,,,,,0,999,0
2019-01-18,ALFA,162.46,165.99,160.83,162.86,1800817,-0.004036,,,,,,,,,,,,,,,,,,0,999,0
2019-01-21,ALFA,159.08,160.71,158.25,159.1,1709703,-0.023049,,,,,,,,,,,,,,,,,,0,999,0
2019-01-22,ALFA,158.35,158.55,156.85,157.9,274139,-0.007578,,,,,,,,,,,,,,,,,,0,999,0
2019-01-23,ALFA,156.98,158.6,155.62,157.72,1791569,-0.001133,,,,,,,,,,,,,,,,,,0,999,0
2019-01-24,ALFA,159.48,160.05,157.52,159.47,1232105,0.011119,,,,,,,,,,,,,,,,,,0,999,0
2019-01-25,ALFA,157.91,160.71,154.89,158.04,2153239,-0.009,,,,,,,,,,,,,,,,,,0,999,0
2019-01-28,ALFA,161.45,161.92,159.67,161.57,1773549,0.022386,,,,,,,,,,,,,,,,,,0,999,0
2019-01-29,ALFA,160.18,163.27,157.7,160.06,371015,-0.009387,,,,,,,,,,,,,,,,,,0,999,0
2019-01-30,ALFA,159.23,161.13,156.41,159.0,2246381,-0.006634,,,,,,,,,,,,,,,,,,0,999,0
2019-01-31,ALFA,161.29,163.69,160.85,161.98,344681,0.018742,,,,,,,,,,,,,,,,,,0,999,0
2019-02-01,ALFA,162.15,165.24,160.0,162.47,888229,0.003082,,,,,,,,,,,,,,,,,,0,999,0
2019-02-04,ALFA,161.18,161.61,159.58,161.44,698667,-0.006361,,,,,,,,,,,,,,,,,,0,999,0
2019-02-05,ALFA,161.05,163.76,159.17,161.23,2440698,-0.001285,,,,,,,,,,,,,,,,,,0,999,0
2019-02-06,ALFA,164.18,164.64,163.65,163.85,552350,0.016239,,,,,,,,,,,,,,,,,,0,999,0
2019-02-07,ALFA,166.56,169.81,163.54,166.99,2142445,0.01914,,,,,,,,,,,,,,,,,,0,999,0
2019-02-08,ALFA,165.58,167.37,162.15,165.3,710985,-0.01009,,,,,,,,,,,,,,,,,,0,999,0
2019-02-11,ALFA,165.33,165.7,165.24,165.42,1696460,0.000728,,,,,,,,,,,,,,,,,,0,999,0
2019-02-12,ALFA,166.07,168.85,164.76,165.53,407793,0.000613,,,,,,,,,,,,,,,,,,0,999,0
2019-02-13,ALFA,164.25,164.42,162.93,163.58,1101428,-0.011743,,,,,,,,,,,,,,,,,,0,999,0
2019-02-14,ALFA,163.22,163.85,160.66,163.33,1633137,-0.001547,,,,,,,,,,,,,,,,,,0,999,0
2019-02-15,ALFA,163.7,166.33,161.45,163.43,1835553,0.000651,,,,,,,,,,,,,,,,,,0,999,0
2019-02-18,ALFA,166.58,168.18,165.27,165.92,2206741,0.01522,,,,,,,,,,,,,,,,,,0,999,0
2019-02-19,ALFA,168.16,171.32,165.4,168.34,2077244,0.014565,,,,,,,,,,,,,,,,,,0,999,0
2019-02-20,ALFA,166.96,169.83,165.73,167.67,1392908,-0.00399,,,,,,,,,,,,,,,,,,0,999,0
2019-02-21,ALFA,166.62,169.2,165.04,167.08,897589,-0.003487,,,,,,,,,,,,,,,,,,0,999,0
2019-02-22,ALFA,168.49,169.53,167.05,168.4,800871,0.007901,,,,,,,,,,,,,,,,,,0,999,0
2019-02-25,ALFA,166.98,167.51,165.2,166.99,2483509,-0.008401,,,,,,,,,,,,,,,,,,0,999,0
2019-02-26,ALFA,167.75,171.28,166.09,168.05,1599104,0.006337,,,,,,,,,,,,,,,,,,0,999,0
2019-02-27,ALFA,167.55,168.36,166.57,167.93,2289824,-0.000687,,,,,,,,,,,,,,,,,,0,999,0
2019-02-28,ALFA,166.33,168.13,164.76,166.21,1197620,-0.010217,,,,,,,,,,,,,,,,,,0,999,0
2019-03-01,ALFA,164.77,165.74,161.77,164.78,1316653,-0.008635,,,,,,,,,,,,,,,,,,0,999,0
2019-03-04,ALFA,167.47,168.52,165.75,167.57,2099241,0.016952,,,,,,,,,,,,,,,,,,0,999,0
2019-03-05,ALFA,167.33,169.54,164.26,167.51,1862508,-0.000349,,,,,,,,,,,,,,,,,,0,999,0
2019-03-06,ALFA,170.92,173.67,168.96,170.88,661791,0.020068,,,,,,,,,,,,,,,,,,0,999,0
2019-03-07,ALFA,169.86,172.52,167.19,169.82,1405220,-0.006159,,,,,,,,,,,,,,,,,,0,999,0
2019-03-08,ALFA,170.04,173.49,168.99,170.51,690932,0.00406,,,,,,,,,,,,,,,,,,0,999,0
2019-03-11,ALFA,175.02,176.53,172.24,175.44,1950140,0.028922,,,,,,,,,,,,,,,,,,0,999,0
2019-03-12,ALFA,173.1,174.92,172.12,173.26,268849,-0.012433,,,,,,,,,,,,,,,,,,0,999,0
2019-03-13,ALFA,168.7,169.39,168.55,169.28,2102059,-0.023016,,,,,,,,,,,,,,,,,,0,999,0
2019-03-14,ALFA,171.82,174.41,171.06,171.69,2336823,0.014247,,,,,,,,,,,,,,,,,,0,999,0
2019-03-15,ALFA,169.21,170.84,169.05,169.76,253411,-0.011254,,,,,,,,,,,,,,,,,,0,999,0
2019-03-18,ALFA,169.66,171.79,166.44,169.84,1649896,0.000529,,,,,,,,,,,,,,,,,,0,999,0
2019-03-19,ALFA,167.54,169.27,164.18,168.63,382003,-0.007147,,,,,,,,,,,,,,,,,,0,999,0
2019-03-20,ALFA,169.51,172.3,166.5,169.1,1028400,0.002796,,,,,,,,,,,,,,,,,,0,999,0
2019-03-21,ALFA,167.43,170.18,166.76,167.2,973875,-0.011248,,,,,,,,,,,,,,,,,,0,999,0
2019-03-22,ALFA,166.85,169.93,163.84,166.99,1395309,-0.001246,,,,,,,,,,,,,,,,,,0,999,0
2019-03-25,ALFA,167.81,168.18,165.3,167.95,2310511,0.005721,,,,,,,,,,,,,,,,,,0,999,0
2019-03-26,ALFA,165.19,169.13,164.04,165.83,1261670,-0.01258,,,,,,,,,,,,,,,,,,0,999,0
2019-03-27,ALFA,164.88,165.76,162.97,164.66,1116029,-0.007074,,,,,,,,,,,,,,,,,,0,999,0
2019-03-28,ALFA,163.95,165.32,161.76,164.25,413391,-0.002503,,,,,,,,,,,,,,,,,,0,999,0
2019-03-29,ALFA,161.16,162.4,161.01,161.54,2241278,-0.016521,,,,,,,,,,,,,,,,,,0,999,0
2019-04-01,ALFA,160.67,161.81,159.01,160.89,923811,-0.003986,,,,,,,,,,,,,,,,,,0,999,0
2019-04-02,ALFA,161.65,163.47,158.95,161.34,1263597,0.002768,,,,,,,,,,,,,,,,,,0,999,0
2019-04-03,ALFA,160.31,161.6,159.64,160.76,412294,-0.00356,,,,,,,,,,,,,,,,,,0,999,0
2019-04-04,ALFA,159.97,161.67,158.5,160.36,864361,-0.002517,,,,,,,,,,,,,,,,,,0,999,0
2019-04-05,ALFA,160.24,162.57,158.5,160.44,1472705,0.000486,,,,,,,,,,,,,,,,,,0,999,0
2019-04-08,ALFA,159.21,161.95,156.85,159.28,2271483,-0.00722,,,,,,,,,,,,,,,,,,0,999,0
2019-04-09,ALFA,160.38,162.7,157.29,160.45,956454,0.007389,,,,,,,,,,,,,,,,,,0,999,0
2019-04-10,ALFA,163.38,165.35,160.57,163.35,1489542,0.018054,,,,,,,,,,,,,,,,,,0,999,0
2019-04-11,ALFA,162.05,162.8,160.0,162.25,2213978,-0.006724,,,,,,,,,,,,,,,,,,0,999,0
2019-04-12,ALFA,163.09,165.78,161.15,163.1,1029113,0.00521,,,,,,,,,,,,,,,,,,0,999,0
2019-04-15,ALFA,163.14,163.34,160.86,162.86,878101,-0.001474,,,,,,,,,,,,,,,,,,0,999,0
2019-04-16,ALFA,164.07,165.0,161.91,163.73,302136,0.005342,,,,,,,,,,,,,,,,,,0,999,0
2019-04-17,ALFA,167.31,167.58,166.79,167.06,2288303,0.020367,,,,,,,,,,,,,,,,,,0,999,0
2019-04-18,ALFA,167.99,170.34,165.62,168.06,455146,0.005993,,,,,,,,,,,,,,,,,,0,999,0
2019-04-19,ALFA,164.34,165.6,161.95,164.33,695462,-0.022237,,,,,,,,,,,,,,,,,,0,999,0
2019-04-22,ALFA,165.15,167.41,163.42,165.22,520413,0.005445,2019-03-29,2019-04-22,1.0,quarterly,24.0,20290.47,,154.14,0.008,176.87,1.257,0.071,0.019,0.612,0.651,0.039,0.064,1,0,1
