symbol,period_end,report_date,fiscal_quarter,report_type,filing_lag_days,revenue,net_income,operating_cashflow,debt_to_equity,gross_margin,net_margin,roe,revenue_yoy,eps_estimate,eps_actual,eps_surprise,eps_surprise_pct
ALFA,2019-03-29,2019-04-22,1,quarterly,24,20290.47,154.14,176.87,1.257,0.071,0.008,0.019,,0.612,0.651,0.039,0.064
ALFA,2019-06-28,2019-08-12,2,quarterly,44,20424.3,2809.93,2827.26,1.01,0.194,0.138,0.072,,0.872,0.837,-0.035,-0.04
ALFA,2019-09-30,2019-11-04,3,quarterly,34,20520.57,1175.42,1289.65,1.187,0.122,0.057,0.095,,0.82,0.818,-0.002,-0.002
ALFA,2019-12-31,2020-01-24,4,annual,24,20712.05,3445.01,4280.07,1.097,0.234,0.166,0.046,,0.909,0.869,-0.04,-0.044
ALFA,2020-03-31,2020-05-13,1,quarterly,43,20707.88,1268.42,1332.06,1.411,0.116,0.061,0.078,0.021,0.775,0.753,-0.022,-0.028
ALFA,2020-06-30,2020-07-27,2,quarterly,27,20969.54,2110.28,2626.65,1.242,0.158,0.101,0.079,0.027,0.521,0.465,-0.057,-0.109
ALFA,2020-09-30,2020-11-03,3,quarterly,34,21023.48,1147.61,1486.43,1.599,0.123,0.055,0.05,0.025,0.488,0.43,-0.058,-0.119
ALFA,2020-12-31,2021-02-05,4,annual,36,21244.16,2392.65,3059.47,1.138,0.177,0.113,0.082,0.026,0.711,0.578,-0.133,-0.187
ALFA,2021-03-31,2021-04-30,1,quarterly,30,21193.18,1248.86,1356.15,1.261,0.112,0.059,0.073,0.023,0.764,0.783,0.019,0.025
ALFA,2021-06-30,2021-07-30,2,quarterly,30,21395.07,1077.56,1317.91,1.13,0.122,0.05,0.048,0.02,0.67,0.639,-0.03,-0.045
ALFA,2021-09-30,2021-10-28,3,quarterly,28,21602.72,2212.74,2518.19,1.201,0.167,0.102,0.078,0.028,0.487,0.34,-0.147,-0.302
ALFA,2021-12-31,2022-01-24,4,annual,23,21572.92,2540.94,2786.29,1.131,0.165,0.118,0.031,0.015,0.851,0.745,-0.106,-0.124
ALFA,2022-03-31,2022-05-02,1,quarterly,32,21671.28,726.56,882.89,1.435,0.111,0.034,0.048,0.023,0.776,0.697,-0.079,-0.102
ALFA,2022-06-30,2022-08-11,2,quarterly,42,21815.2,1824.59,2032.77,1.231,0.128,0.084,0.065,0.02,0.586,0.57,-0.017,-0.029
ALFA,2022-09-30,2022-11-14,3,quarterly,45,21984.27,3469.14,3370.91,1.314,0.203,0.158,0.083,0.018,0.644,0.539,-0.105,-0.164
ALFA,2022-12-30,2023-02-03,4,annual,35,21891.38,2277.81,2726.61,0.857,0.174,0.104,0.052,0.015,0.866,0.994,0.129,0.148
ALFA,2023-03-31,2023-04-27,1,quarterly,27,22503.34,2431.57,2499.8,0.692,0.165,0.108,0.029,0.038,0.678,0.598,-0.08,-0.118
ALFA,2023-06-30,2023-07-20,2,quarterly,20,22820.52,1787.66,1925.4,0.966,0.155,0.078,0.054,0.046,0.732,0.842,0.11,0.151
ALFA,2023-09-29,2023-10-30,3,quarterly,31,22982.02,2722.42,2834.63,0.929,0.188,0.118,0.043,0.045,1.059,0.962,-0.097,-0.091
ALFA,2023-12-29,2024-02-08,4,annual,41,22966.58,2885.88,3035.32,1.186,0.186,0.126,0.07,0.049,0.807,0.739,-0.068,-0.084
ALFA,2024-03-29,2024-04-18,1,quarterly,20,22895.57,899.4,1018.31,1.62,0.098,0.039,0.064,0.017,0.783,0.856,0.073,0.094
ALFA,2024-06-28,2024-08-07,2,quarterly,40,22964.67,3097.58,2993.28,1.609,0.193,0.135,0.071,0.006,0.535,0.636,0.101,0.189
ALFA,2024-09-30,2024-11-01,3,quarterly,32,23401.63,1650.97,1677.04,1.59,0.142,0.071,0.047,0.018,0.837,0.774,-0.063,-0.075
ALFA,2024-12-31,2025-02-03,4,annual,33,23515.7,2557.16,2154.34,1.248,0.162,0.109,0.101,0.024,0.733,0.634,-0.099,-0.135
BETA,2019-03-29,2019-05-01,1,quarterly,33,15998.86,597.13,776.51,0.779,0.101,0.037,0.066,,0.861,0.942,0.081,0.094
BETA,2019-06-28,2019-07-25,2,quarterly,27,16022.66,1183.39,1376.96,0.944,0.145,0.074,0.072,,0.815,0.99,0.175,0.215
BETA,2019-09-30,2019-10-28,3,quarterly,26,16355.66,876.97,1050.03,0.534,0.12,0.054,0.056,,0.961,0.877,-0.085,-0.088
BETA,2019-12-31,2020-02-10,4,annual,40,16201.95,1269.91,1442.44,0.767,0.147,0.078,0.033,,0.517,0.373,-0.144,-0.278
BETA,2020-03-31,2020-04-24,1,quarterly,24,16569.35,1179.89,1149.53,1.359,0.102,0.071,0.032,0.036,0.725,0.726,0.001,0.001
BETA,2020-06-30,2020-08-10,2,quarterly,41,16557.85,1326.0,1498.28,1.008,0.144,0.08,0.088,0.033,0.574,0.529,-0.045,-0.079
BETA,2020-09-30,2020-11-09,3,quarterly,39,16635.82,1881.0,2207.01,1.018,0.163,0.113,0.048,0.017,0.833,0.811,-0.022,-0.027
BETA,2020-12-31,2021-02-11,4,annual,42,16657.36,2033.01,2455.63,1.423,0.166,0.122,0.062,0.028,0.666,0.551,-0.115,-0.173
BETA,2021-03-31,2021-05-05,1,quarterly,35,16917.89,1919.16,2337.85,0.464,0.164,0.113,0.079,0.021,0.614,0.55,-0.064,-0.104
BETA,2021-06-30,2021-08-09,2,quarterly,40,17038.02,1422.58,1949.96,0.837,0.142,0.083,0.062,0.029,0.395,0.35,-0.045,-0.115
BETA,2021-09-30,2021-11-08,3,quarterly,39,17174.85,1868.2,2632.48,0.461,0.165,0.109,0.054,0.032,0.55,0.593,0.043,0.078
BETA,2021-12-31,2022-01-28,4,annual,28,17282.14,991.41,1397.73,1.225,0.112,0.057,0.055,0.038,0.957,0.966,0.009,0.009
BETA,2022-03-31,2022-05-05,1,quarterly,35,17624.09,1971.79,2061.29,0.826,0.171,0.112,0.09,0.042,0.929,0.808,-0.121,-0.13
BETA,2022-06-30,2022-08-08,2,quarterly,38,17717.09,2618.82,2394.11,1.355,0.201,0.148,0.087,0.04,0.77,0.65,-0.12,-0.156
BETA,2022-09-30,2022-11-02,3,quarterly,33,17767.05,2557.88,2954.14,0.725,0.214,0.144,0.084,0.034,0.598,0.518,-0.08,-0.134
BETA,2022-12-30,2023-02-06,4,annual,36,17799.29,2543.72,2952.77,0.327,0.2,0.143,0.083,0.03,0.843,0.945,0.103,0.122
BETA,2023-03-31,2023-04-25,1,quarterly,25,17643.24,1495.63,1802.61,0.504,0.13,0.085,0.083,0.001,0.907,0.835,-0.072,-0.079
BETA,2023-06-30,2023-08-07,2,quarterly,37,17902.96,1688.91,1904.88,0.967,0.163,0.094,0.072,0.01,0.758,0.762,0.004,0.006
BETA,2023-09-29,2023-10-23,3,quarterly,23,18157.28,796.71,817.95,1.27,0.111,0.044,0.061,0.022,0.811,0.852,0.041,0.051
BETA,2023-12-29,2024-01-29,4,annual,29,18460.03,2791.23,3124.01,1.038,0.188,0.151,0.09,0.037,0.48,0.582,0.102,0.213
BETA,2024-03-29,2024-05-01,1,quarterly,33,18520.48,1582.65,1439.91,0.499,0.158,0.085,0.104,0.05,0.661,0.67,0.009,0.013
BETA,2024-06-28,2024-08-12,2,quarterly,43,18683.07,605.84,738.46,0.913,0.097,0.032,-0.004,0.044,0.886,0.87,-0.015,-0.017
BETA,2024-09-30,2024-10-28,3,quarterly,27,18914.89,1910.93,2253.97,0.724,0.163,0.101,0.081,0.042,0.904,0.846,-0.058,-0.064
BETA,2024-12-31,2025-02-06,4,annual,37,19004.03,1444.1,1339.65,0.401,0.149,0.076,0.09,0.029,0.43,0.35,-0.081,-0.187
DELT,2019-03-29,2019-05-08,1,quarterly,40,21998.5,3375.34,3354.79,0.978,0.2,0.153,0.085,,0.646,0.776,0.13,0.201
DELT,2019-06-28,2019-08-09,2,quarterly,42,22154.27,921.41,905.73,1.009,0.103,0.042,0.092,,1.095,1.138,0.043,0.039
DELT,2019-09-30,2019-10-21,3,quarterly,21,22130.17,3221.22,3635.79,1.124,0.209,0.146,0.163,,1.1,0.963,-0.137,-0.125
DELT,2019-12-31,2020-01-30,4,annual,30,22289.33,4097.64,5073.25,1.498,0.255,0.184,0.096,,1.056,0.987,-0.069,-0.065
DELT,2020-03-31,2020-04-30,1,quarterly,30,22544.56,3816.53,3872.39,0.658,0.229,0.169,0.092,0.025,0.957,0.951,-0.006,-0.006
DELT,2020-06-30,2020-07-27,2,quarterly,26,22499.54,3332.05,3968.0,0.439,0.2,0.148,0.086,0.016,0.901,0.797,-0.104,-0.116
DELT,2020-09-30,2020-11-13,3,quarterly,44,22868.28,3174.44,3571.13,1.186,0.195,0.139,0.173,0.033,1.131,1.182,0.051,0.045
DELT,2020-12-31,2021-02-15,4,annual,45,23010.31,2727.43,2948.82,1.278,0.164,0.119,0.087,0.032,0.944,0.97,0.026,0.028
DELT,2021-03-31,2021-04-26,1,quarterly,26,23200.77,3508.45,2813.59,0.874,0.219,0.151,0.034,0.029,0.863,0.791,-0.072,-0.084
DELT,2021-06-30,2021-08-02,2,quarterly,33,23629.23,2874.56,2884.92,1.066,0.171,0.122,0.07,0.05,0.871,0.917,0.046,0.052
DELT,2021-09-30,2021-10-20,3,quarterly,20,23829.11,3252.96,3735.0,1.256,0.207,0.137,0.101,0.042,0.976,0.88,-0.096,-0.099
DELT,2021-12-31,2022-01-28,4,annual,28,24192.82,2859.72,2310.34,1.057,0.167,0.118,0.071,0.051,0.784,0.711,-0.073,-0.093
DELT,2022-03-31,2022-04-28,1,quarterly,28,24702.79,2990.8,3640.32,0.796,0.192,0.121,0.124,0.065,1.017,1.062,0.045,0.044
DELT,2022-06-30,2022-07-25,2,quarterly,23,25004.32,2777.71,2258.03,1.282,0.187,0.111,0.125,0.058,1.158,1.254,0.096,0.083
DELT,2022-09-30,2022-10-27,3,quarterly,27,25065.98,1617.9,1985.89,1.313,0.107,0.065,0.104,0.052,0.952,0.882,-0.07,-0.074
DELT,2022-12-30,2023-01-25,4,annual,26,25263.4,2317.18,2344.69,1.527,0.14,0.092,0.163,0.044,1.136,1.188,0.052,0.046
DELT,2023-03-31,2023-05-08,1,quarterly,38,25602.92,4539.88,5452.94,1.266,0.231,0.177,0.12,0.036,0.74,0.748,0.008,0.01
DELT,2023-06-30,2023-07-24,2,quarterly,24,25616.28,4887.28,6610.5,1.42,0.248,0.191,0.153,0.024,1.01,1.027,0.017,0.017
DELT,2023-09-29,2023-10-30,3,quarterly,30,25665.44,3498.99,3982.0,0.755,0.197,0.136,0.103,0.024,1.278,1.35,0.073,0.057
DELT,2023-12-29,2024-01-22,4,annual,23,25973.08,3148.49,3268.4,0.81,0.183,0.121,0.095,0.028,0.82,0.862,0.042,0.051
DELT,2024-03-29,2024-04-22,1,quarterly,24,26312.15,1581.02,2061.46,1.33,0.109,0.06,0.098,0.028,1.014,0.947,-0.067,-0.066
DELT,2024-06-28,2024-08-01,2,quarterly,34,26646.45,3592.26,3460.68,1.356,0.196,0.135,0.14,0.04,0.96,0.979,0.018,0.019
DELT,2024-09-30,2024-11-01,3,quarterly,32,26875.73,2460.93,2945.03,0.955,0.158,0.092,0.109,0.047,0.948,0.968,0.02,0.022
DELT,2024-12-31,2025-01-23,4,annual,23,26918.06,2168.17,1887.88,0.79,0.162,0.081,0.144,0.036,1.012,1.016,0.003,0.003
EPSI,2019-03-29,2019-04-29,1,quarterly,31,14626.31,3091.33,3140.32,0.103,0.279,0.211,0.115,,1.255,1.405,0.151,0.12
EPSI,2019-06-28,2019-08-06,2,quarterly,39,14802.32,3429.62,4011.49,0.637,0.293,0.232,0.15,,1.358,1.649,0.291,0.214
EPSI,2019-09-30,2019-11-08,3,quarterly,39,15112.24,1862.4,2395.58,0.108,0.188,0.123,0.178,,1.308,1.367,0.059,0.045
EPSI,2019-12-31,2020-01-23,4,annual,23,15370.33,2514.65,2347.81,0.365,0.233,0.164,0.09,,1.295,1.338,0.043,0.033
EPSI,2020-03-31,2020-04-22,1,quarterly,22,15514.07,2851.77,3259.61,0.1,0.25,0.184,0.108,0.061,1.345,1.301,-0.044,-0.033
EPSI,2020-06-30,2020-08-13,2,quarterly,44,15747.18,1236.75,1403.08,0.195,0.141,0.079,0.09,0.064,1.299,1.354,0.054,0.042
EPSI,2020-09-30,2020-11-10,3,quarterly,41,16088.27,1848.07,2470.39,0.1,0.172,0.115,0.113,0.065,1.239,1.075,-0.164,-0.132
EPSI,2020-12-31,2021-02-10,4,annual,41,16221.89,2125.05,2778.3,0.208,0.194,0.131,0.136,0.055,1.202,1.17,-0.033,-0.027
EPSI,2021-03-31,2021-04-26,1,quarterly,26,16516.23,1544.69,2144.4,0.224,0.155,0.094,0.16,0.065,1.21,1.411,0.201,0.166
EPSI,2021-06-30,2021-08-12,2,quarterly,43,16598.41,2708.74,3340.79,0.1,0.219,0.163,0.116,0.054,1.21,1.326,0.115,0.095
EPSI,2021-09-30,2021-10-20,3,quarterly,20,16984.07,3313.08,3652.05,0.539,0.274,0.195,0.164,0.056,1.173,1.219,0.046,0.039
EPSI,2021-12-31,2022-02-09,4,annual,40,17210.07,3947.82,4584.83,0.302,0.292,0.229,0.143,0.061,1.304,1.377,0.072,0.055
EPSI,2022-03-31,2022-04-25,1,quarterly,24,17610.95,3712.61,4220.57,0.346,0.282,0.211,0.158,0.066,1.445,1.55,0.106,0.073
EPSI,2022-06-30,2022-08-12,2,quarterly,43,17984.32,3102.28,3723.91,0.27,0.236,0.172,0.185,0.083,0.864,0.931,0.067,0.078
EPSI,2022-09-30,2022-11-07,3,quarterly,37,17753.94,1346.87,1405.03,0.318,0.147,0.076,0.162,0.045,1.509,1.507,-0.002,-0.002
EPSI,2022-12-30,2023-02-06,4,annual,36,18012.07,2930.99,3322.4,0.231,0.233,0.163,0.197,0.047,1.298,1.225,-0.073,-0.056
EPSI,2023-03-31,2023-05-08,1,quarterly,36,18239.64,2260.07,2563.09,0.207,0.187,0.124,0.176,0.036,1.337,1.423,0.086,0.064
EPSI,2023-06-30,2023-07-28,2,quarterly,28,18362.6,3765.27,4591.77,0.1,0.261,0.205,0.136,0.021,1.074,1.129,0.055,0.051
EPSI,2023-09-29,2023-10-30,3,quarterly,29,18731.14,3272.55,3614.88,0.1,0.231,0.175,0.168,0.055,1.231,1.337,0.106,0.086
EPSI,2023-12-29,2024-02-12,4,annual,44,19255.81,4172.47,4874.18,0.286,0.269,0.217,0.145,0.069,1.323,1.425,0.102,0.077
EPSI,2024-03-29,2024-05-07,1,quarterly,39,19527.49,2485.54,2985.21,0.357,0.187,0.127,0.136,0.071,1.404,1.41,0.006,0.005
EPSI,2024-06-28,2024-08-05,2,quarterly,37,19867.16,1797.62,1785.48,0.1,0.167,0.09,0.192,0.082,1.15,1.191,0.041,0.035
EPSI,2024-09-30,2024-11-08,3,quarterly,39,20115.48,2939.13,3560.68,0.283,0.203,0.146,0.167,0.074,1.396,1.264,-0.132,-0.095
EPSI,2024-12-31,2025-02-13,4,annual,44,20079.31,3408.35,4023.27,0.46,0.218,0.17,0.148,0.043,1.228,1.304,0.075,0.061
GAMM,2019-03-29,2019-04-19,1,quarterly,21,20973.84,3470.8,3555.45,1.398,0.225,0.165,0.087,,0.84,0.713,-0.127,-0.151
GAMM,2019-06-28,2019-07-23,2,quarterly,25,21104.86,3113.5,3094.56,0.714,0.204,0.148,0.14,,1.0,0.981,-0.019,-0.019
GAMM,2019-09-30,2019-11-11,3,quarterly,42,21003.55,2896.13,3046.32,0.926,0.209,0.138,0.07,,0.993,0.969,-0.024,-0.024
